Wavelength [A],flux (measured at 1 au) [erg/cm^2/s/A]
0.01,0.00000e+00
0.02,7.25960e-319
0.03,5.17027e-212
0.04,6.32838e-159
0.05,4.22516e-127
0.06,6.83068e-106
0.07,9.75091e-91
0.08,2.32614e-79
0.09,1.69137e-70
0.10,2.12799e-63
0.11,1.39555e-57
0.12,9.94765e-53
0.13,1.28250e-48
0.14,4.30506e-45
0.15,4.91734e-42
0.16,2.33698e-39
0.17,5.39080e-37
0.18,6.80519e-35
0.19,5.16901e-33
0.20,2.54887e-31
0.21,8.67743e-30
0.22,2.14501e-28
0.23,4.01381e-27
0.24,5.88657e-26
0.25,6.96672e-25
0.26,6.82007e-24
0.27,5.64017e-23
0.28,4.01221e-22
0.29,2.49360e-21
0.30,1.37242e-20
0.31,6.76813e-20
0.32,3.02166e-19
0.33,1.23238e-18
0.34,4.62845e-18
0.35,1.61208e-17
0.36,5.23999e-17
0.37,1.59845e-16
0.38,4.59908e-16
0.39,1.25372e-15
0.40,3.25125e-15
0.41,8.05017e-15
0.42,1.90942e-14
0.43,4.35150e-14
0.44,9.55444e-14
0.45,2.02617e-13
0.46,4.15946e-13
0.47,8.28300e-13
0.48,1.60307e-12
0.49,3.02059e-12
0.50,5.55009e-12
0.51,9.95909e-12
0.52,1.74761e-11
0.53,3.00276e-11
0.54,5.05774e-11
0.55,8.36030e-11
0.56,1.35754e-10
0.57,2.16748e-10
0.58,3.40571e-10
0.59,5.27061e-10
0.60,8.03979e-10
0.61,1.20967e-09
0.62,1.79643e-09
0.63,2.63480e-09
0.64,3.81883e-09
0.65,5.47261e-09
0.66,7.75823e-09
0.67,1.08854e-08
0.68,1.51228e-08
0.69,2.08122e-08
0.70,2.83838e-08
0.71,3.83759e-08
0.72,5.14559e-08
0.73,6.84461e-08
0.74,9.03520e-08
0.75,1.18395e-07
0.76,1.54051e-07
0.77,1.99088e-07
0.78,2.55616e-07
0.79,3.26138e-07
0.80,4.13605e-07
0.81,5.21480e-07
0.82,6.53805e-07
0.83,8.15278e-07
0.84,1.01133e-06
0.85,1.24821e-06
0.86,1.53309e-06
0.87,1.87415e-06
0.88,2.28069e-06
0.89,2.76324e-06
0.90,3.33368e-06
0.91,4.00539e-06
0.92,4.79332e-06
0.93,5.71418e-06
0.94,6.78659e-06
0.95,8.03118e-06
0.96,9.47076e-06
0.97,1.11305e-05
0.98,1.30381e-05
0.99,1.52239e-05
1.00,1.77211e-05
1.01,2.05659e-05
1.02,2.37978e-05
1.03,2.74594e-05
1.04,3.15972e-05
1.05,3.62611e-05
1.06,4.15052e-05
1.07,4.73875e-05
1.08,5.39703e-05
1.09,6.13204e-05
1.10,6.95092e-05
1.11,7.86128e-05
1.12,8.87124e-05
1.13,9.98942e-05
1.14,1.12250e-04
1.15,1.25876e-04
1.16,1.40877e-04
1.17,1.57359e-04
1.18,1.75437e-04
