Log T [K],diffential emission measure [1/cm^5/K]
4.00,1.77623e+25
4.01,4.43582e+24
4.02,4.29327e+24
4.03,4.62614e+24
4.04,5.18460e+24
4.05,5.15259e+24
4.06,5.26977e+24
4.07,5.24969e+24
4.08,5.39433e+24
4.09,5.56937e+24
4.10,5.58275e+24
4.11,5.55270e+24
4.12,5.69657e+24
4.13,5.64684e+24
4.14,5.74248e+24
4.15,6.02612e+24
4.16,6.06369e+24
4.17,6.17027e+24
4.18,6.16915e+24
4.19,6.17506e+24
4.20,6.06172e+24
4.21,5.90091e+24
4.22,5.69026e+24
4.23,5.50360e+24
4.24,5.34229e+24
4.25,5.17002e+24
4.26,5.01576e+24
4.27,4.90388e+24
4.28,4.78477e+24
4.29,4.68734e+24
4.30,4.58830e+24
4.31,4.52348e+24
4.32,4.45383e+24
4.33,4.39026e+24
4.34,4.32802e+24
4.35,4.25499e+24
4.36,4.16355e+24
4.37,4.11120e+24
4.38,4.04698e+24
4.39,3.95818e+24
4.40,3.84154e+24
4.41,3.71773e+24
4.42,3.58507e+24
4.43,3.45408e+24
4.44,3.31257e+24
4.45,3.13736e+24
4.46,2.96236e+24
4.47,2.77051e+24
4.48,2.57234e+24
4.49,2.38479e+24
4.50,2.19341e+24
4.51,2.01569e+24
4.52,1.84063e+24
4.53,1.68606e+24
4.54,1.55065e+24
4.55,1.41982e+24
4.56,1.30074e+24
4.57,1.20734e+24
4.58,1.11423e+24
4.59,1.04188e+24
4.60,9.71840e+23
4.61,9.02379e+23
4.62,8.34932e+23
4.63,7.75826e+23
4.64,7.23747e+23
4.65,6.85981e+23
4.66,6.52453e+23
4.67,6.31091e+23
4.68,6.17712e+23
4.69,6.06030e+23
4.70,6.05249e+23
4.71,6.06908e+23
4.72,6.13357e+23
4.73,6.12292e+23
4.74,6.10464e+23
4.75,6.03420e+23
4.76,5.93319e+23
4.77,5.91447e+23
4.78,5.89155e+23
4.79,5.94096e+23
4.80,6.07982e+23
4.81,6.32007e+23
4.82,6.96927e+23
4.83,8.74196e+23
4.84,9.38879e+23
4.85,9.07741e+23
4.86,9.14939e+23
4.87,9.63102e+23
4.88,8.49620e+23
4.89,7.29236e+23
4.90,6.64579e+23
4.91,6.99521e+23
4.92,7.36129e+23
4.93,6.90061e+23
4.94,6.44126e+23
4.95,6.19156e+23
4.96,6.02075e+23
4.97,5.93993e+23
4.98,5.58463e+23
4.99,5.28994e+23
5.00,5.03198e+23
5.01,4.83918e+23
5.02,4.70144e+23
5.03,4.53065e+23
5.04,4.42703e+23
5.05,4.43166e+23
5.06,4.41395e+23
5.07,4.38964e+23
5.08,4.36890e+23
5.09,4.39751e+23
5.10,4.40866e+23
5.11,4.41848e+23
5.12,4.45207e+23
5.13,4.45514e+23
5.14,4.44338e+23
5.15,4.38926e+23
5.16,4.31756e+23
5.17,4.21981e+23
5.18,4.07540e+23
5.19,3.93059e+23
5.20,3.78901e+23
5.21,3.65641e+23
5.22,3.52362e+23
5.23,3.46246e+23
5.24,3.43079e+23
5.25,3.42848e+23
5.26,3.47671e+23
5.27,3.58845e+23
5.28,3.77601e+23
5.29,3.96528e+23
5.30,4.15174e+23
5.31,4.28176e+23
5.32,4.37169e+23
5.33,4.38284e+23
5.34,4.35534e+23
5.35,4.29516e+23
5.36,4.20417e+23
5.37,4.15993e+23
5.38,4.12678e+23
5.39,4.08990e+23
5.40,3.99535e+23
5.41,3.92891e+23
5.42,3.82846e+23
5.43,3.74388e+23
5.44,3.68333e+23
5.45,3.55039e+23
5.46,3.46215e+23
5.47,3.46724e+23
5.48,3.50551e+23
5.49,3.57092e+23
5.50,3.55745e+23
5.51,3.53476e+23
5.52,3.50256e+23
5.53,3.44320e+23
5.54,3.35587e+23
5.55,3.27436e+23
5.56,3.24627e+23
5.57,3.25655e+23
5.58,3.29600e+23
5.59,3.30019e+23
5.60,3.30037e+23
5.61,3.26510e+23
5.62,3.23424e+23
5.63,3.19392e+23
5.64,3.19524e+23
5.65,3.23482e+23
5.66,3.21102e+23
5.67,3.12080e+23
5.68,3.12536e+23
5.69,3.16891e+23
5.70,3.13687e+23
5.71,3.07575e+23
5.72,3.13027e+23
5.73,3.09122e+23
5.74,3.07631e+23
5.75,3.08187e+23
5.76,3.07222e+23
5.77,3.06540e+23
5.78,3.06409e+23
5.79,3.05513e+23
5.80,3.06854e+23
5.81,3.07446e+23
5.82,3.06745e+23
5.83,3.08676e+23
5.84,3.08792e+23
5.85,3.09559e+23
5.86,3.11242e+23
5.87,3.11623e+23
5.88,3.13630e+23
5.89,3.15069e+23
5.90,3.16375e+23
5.91,3.17984e+23
5.92,3.19672e+23
5.93,3.21386e+23
